iter	Passed	Remaining
194	107895	445413
195	108421	444750
196	108956	444123
197	109608	443969
198	110134	443306
199	110670	442680
200	111195	442017
201	111672	441160
202	112274	440800
203	112867	440403
204	113527	440264
205	114145	439958
206	114638	439170
207	115198	438639
208	115741	438046
209	116267	437389
210	116936	437264
211	117535	436876
212	118045	436159
213	118588	435562
214	119206	435243
215	119774	434738
216	120243	433872
217	120811	433369
218	121387	432895
219	121886	432141
220	122529	431901
221	123055	431248
222	123607	430684
223	124167	430151
224	124668	429413
225	125311	429165
226	125938	428855
227	126506	428345
228	127016	427639
229	127776	427772
230	128244	426927
231	128787	426330
232	129422	426038
233	130015	425605
234	130618	425206
235	131106	424429
236	131614	423719
237	132148	423098
238	132658	422397
239	133201	421803
240	133978	421949
241	134588	421562
242	135098	420862
243	135600	420138
244	136084	419363
245	136628	418771
246	137238	418382
247	137845	417983
248	138472	417641
249	138998	416996
250	139517	416328
251	140060	415735
252	140619	415189
253	141238	414818
254	141856	414443
255	142457	414018
256	142951	413280
257	143511	412733
258	144046	412117
259	144681	411785
260	145224	411191
261	145834	410786
262	146369	410168
263	146854	409411
264	147363	408726
265	148115	408709
266	148683	408183
267	149222	407577
268	149678	406747
269	150188	406064
270	150689	405360
271	151257	404837
272	151842	404358
273	152419	403856
274	153179	403835
275	153780	403395
276	154332	402824
277	154892	402273
278	155535	401940
279	156153	401538
280	156630	400773
281	157198	400242
282	157724	399605
283	158243	398952
284	158920	398696
285	159513	398226
286	160123	397797
287	160632	397120
288	161184	396547
289	161736	395974
290	162354	395564
291	163339	396042
292	163849	395362
293	164408	394805
294	164927	394149
295	165445	393492
296	165963	392836
297	166548	392339
298	167116	391802
299	167634	391147
300	168186	390573
301	168863	390286
302	169423	389729
303	169941	389076
304	170425	388347
305	170936	387678
306	171454	387029
307	172039	386529
308	172648	386085
309	173242	385603
310	173760	384954
311	174270	384289
312	174713	383477
313	175323	383031
314	175900	382513
315	176459	381957
316	176978	381313
317	177513	380704
318	178307	380650
319	178891	380143
320	179626	379957
321	180177	379380
322	180754	378857
323	181289	378246
324	181807	377600
325	182317	376939
326	182894	376414
327	183512	375977
328	184064	375401
329	184574	374741
330	185142	374200
331	185852	373943
332	186430	373421
333	186932	372744
334	187392	371987
335	187893	371313
336	188428	370706
337	189046	370262
338	189699	369885
339	190275	369358
340	190751	368638
341	191228	367918
342	191863	367504
343	192475	367045
344	193034	366486
345	193653	366038
346	194213	365478
347	194722	364825
348	195232	364173
349	195876	363770
350	196419	363180
351	197004	362666
352	197572	362123
353	198131	361562
354	198884	361353
355	199452	360806
356	200037	360290
357	200638	359804
358	201198	359242
359	201733	358636
360	202218	357943
361	202845	357500
362	203471	357056
363	204139	356683
364	204682	356092
365	205201	355458
366	205744	354867
367	206329	354349
368	206814	353657
369	207307	352982
370	207842	352379
371	208360	351747
372	208986	351299
373	209663	350933
374	210181	350303
375	210741	349740
376	211306	349188
377	211861	348618
378	212471	348138
379	213048	347605
380	213649	347110
381	214485	346994
382	215044	346429
383	215529	345745
384	216156	345288
385	216807	344870
386	217367	344305
387	217907	343709
388	218420	343072
389	218905	342390
390	219390	341709
391	220016	341250
392	220544	340636
393	221070	340021
394	221646	339484
395	222189	338895
396	222666	338205
